Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;
126596511;04.10.2022 19:10;sell;0.84;usdjpy;144.157;144.283;125.869;04.10.2022 20:15;144.283;-5,88;0,00;0,00;-73,36;
126596566;04.10.2022 3:17;buy;0.20;gbpjpy;163.893;164.440;217.045;04.10.2022 12:08;164.440;-1,40;0,00;0,00;75,58;
126596640;04.10.2022 19:10;sell;0.84;usdjpy;144.157;144.283;125.869;04.10.2022 20:15;144.283;-5,88;0,00;0,00;-73,36;
126596710;04.10.2022 19:10;sell;0.79;usdjpy;144.157;144.291;125.869;04.10.2022 20:15;144.291;-5,53;0,00;0,00;-73,37;
126596740;04.10.2022 19:10;sell;0.79;usdjpy;144.157;144.291;125.869;04.10.2022 20:15;144.291;-5,53;0,00;0,00;-73,37;
126596774;04.10.2022 4:22;buy;0.61;cadjpy;106.224;106.390;132.304;04.10.2022 11:03;106.390;-4,27;0,00;0,00;70,01;
126596842;04.10.2022 9:17;buy;0.43;nzdjpy;82.812;82.566;112.716;04.10.2022 13:51;82.566;-3,01;0,00;0,00;-73,10;
126596911;04.10.2022 18:15;buy;0.40;chfjpy;147.377;147.109;182.129;04.10.2022 18:58;147.109;-2,80;0,00;0,00;-74,29;
126596914;04.10.2022 18:15;buy;0.40;chfjpy;147.377;147.109;182.129;04.10.2022 18:58;147.109;-2,80;0,00;0,00;-74,29;
126596915;04.10.2022 15:54;buy;0.37;chfjpy;146.816;147.107;172.592;04.10.2022 20:09;147.107;-2,59;0,00;0,00;74,64;
126596920;04.10.2022 15:54;buy;0.37;chfjpy;146.816;146.871;172.592;04.10.2022 21:00;147.050;-2,59;0,00;0,00;60,06;
126597533;04.10.2022 3:17;buy;0.20;gbpjpy;163.893;164.048;217.045;04.10.2022 12:26;164.048;-1,40;0,00;0,00;21,41;
126597945;04.10.2022 9:17;buy;0.43;nzdjpy;82.812;82.855;112.716;04.10.2022 12:08;82.855;-3,01;0,00;0,00;12,77;
126598674;04.10.2022 4:22;buy;0.61;cadjpy;106.224;106.317;132.304;04.10.2022 11:19;106.317;-4,27;0,00;0,00;39,21;
126907882;04.10.2022 18:27;buy;0.18;gbpjpy;165.212;164.625;218.204;04.10.2022 22:00;165.192;-1,26;0,00;0,00;-2,50;
126918949;04.10.2022 18:27;buy;0.18;gbpjpy;165.212;164.625;218.204;04.10.2022 22:00;165.188;-1,26;0,00;0,00;-3,00;
127343749;05.10.2022 15:44;sell;0.20;gbpjpy;163.420;163.368;129.532;05.10.2022 19:14;163.368;-1,40;0,00;0,00;7,19;
127343815;05.10.2022 4:26;buy;0.44;nzdjpy;83.287;83.051;99.175;05.10.2022 4:43;83.051;-3,08;0,00;0,00;-72,06;
127343875;05.10.2022 15:44;sell;0.20;gbpjpy;163.420;163.930;129.532;05.10.2022 21:59;163.930;-1,40;0,00;0,00;-70,60;
127343924;05.10.2022 4:26;buy;0.44;nzdjpy;83.287;83.051;99.175;05.10.2022 4:43;83.051;-3,08;0,00;0,00;-72,06;
127343962;05.10.2022 14:45;sell;0.19;gbpjpy;163.647;163.368;130.575;05.10.2022 19:14;163.368;-1,33;0,00;0,00;36,65;
127343985;05.10.2022 4:26;buy;0.41;nzdjpy;83.287;83.037;100.455;05.10.2022 5:07;83.037;-2,87;0,00;0,00;-71,06;
127344025;05.10.2022 14:45;sell;0.19;gbpjpy;163.647;163.548;130.575;05.10.2022 19:41;163.548;-1,33;0,00;0,00;13,00;
127344036;05.10.2022 2:57;sell;0.72;usdjpy;143.898;143.849;127.306;05.10.2022 3:31;143.849;-5,04;0,00;0,00;24,53;
127344045;05.10.2022 14:46;sell;0.41;nzdjpy;82.214;82.464;65.046;05.10.2022 18:32;82.464;-2,87;0,00;0,00;-70,79;
127344065;05.10.2022 1:11;buy;0.19;gbpjpy;165.538;164.997;199.426;05.10.2022 2:37;164.997;-1,33;0,00;0,00;-71,35;
127344075;05.10.2022 4:26;buy;0.41;nzdjpy;83.287;83.037;100.455;05.10.2022 5:07;83.037;-2,87;0,00;0,00;-71,06;
127344097;05.10.2022 14:46;sell;0.41;nzdjpy;82.214;82.464;65.046;05.10.2022 18:32;82.464;-2,87;0,00;0,00;-70,79;
127344098;05.10.2022 2:57;sell;0.72;usdjpy;143.898;143.874;127.306;05.10.2022 3:42;143.874;-5,04;0,00;0,00;12,01;
127345239;05.10.2022 1:11;buy;0.19;gbpjpy;165.538;164.997;199.426;05.10.2022 2:37;164.997;-1,33;0,00;0,00;-71,35;
127350879;05.10.2022 17:01;sell;0.60;cadjpy;105.920;106.092;93.056;05.10.2022 19:49;106.092;-4,20;0,00;0,00;-71,30;
127350880;05.10.2022 17:01;sell;0.60;cadjpy;105.920;106.092;93.056;05.10.2022 19:49;106.092;-4,20;0,00;0,00;-71,30;
127350881;05.10.2022 17:00;sell;0.57;cadjpy;105.957;106.146;93.109;05.10.2022 20:21;106.146;-3,99;0,00;0,00;-74,49;
127350882;05.10.2022 17:00;sell;0.57;cadjpy;105.957;106.146;93.109;05.10.2022 20:21;106.146;-3,99;0,00;0,00;-74,49;
127354022;05.10.2022 9:42;buy;0.57;cadjpy;106.760;106.578;120.200;05.10.2022 10:08;106.578;-3,99;0,00;0,00;-71,90;
127354215;05.10.2022 9:42;buy;0.57;cadjpy;106.760;106.578;120.200;05.10.2022 10:08;106.578;-3,99;0,00;0,00;-71,90;
127361099;05.10.2022 9:45;buy;0.19;gbpjpy;165.571;165.023;199.987;05.10.2022 10:32;165.023;-1,33;0,00;0,00;-72,06;
127361130;05.10.2022 9:45;buy;0.19;gbpjpy;165.571;165.023;199.987;05.10.2022 10:32;165.023;-1,33;0,00;0,00;-72,06;
128046785;06.10.2022 19:00;sell;0.42;nzdjpy;81.981;82.198;58.045;06.10.2022 22:00;81.955;-2,94;0,00;0,00;7,53;
128046846;06.10.2022 16:19;sell;0.19;gbpjpy;162.603;162.244;112.827;06.10.2022 21:00;162.199;-1,33;0,00;0,00;52,95;
128046851;06.10.2022 19:00;sell;0.42;nzdjpy;81.981;82.198;58.045;06.10.2022 22:00;81.950;-2,94;0,00;0,00;8,97;
128046924;06.10.2022 2:34;buy;0.40;nzdjpy;83.477;83.791;107.413;06.10.2022 8:05;83.791;-2,80;0,00;0,00;86,90;
128046983;06.10.2022 16:19;sell;0.19;gbpjpy;162.603;162.414;112.827;06.10.2022 21:00;162.193;-1,33;0,00;0,00;53,74;
128046988;06.10.2022 19:00;sell;0.40;nzdjpy;81.981;82.211;58.045;06.10.2022 22:00;81.951;-2,80;0,00;0,00;8,27;
128047031;06.10.2022 16:50;buy;0.61;usdjpy;144.847;144.698;165.935;06.10.2022 21:00;144.976;-4,27;0,00;0,00;54,28;
