Ticket;Open Time;Type;Size;Item;Price;S / L;T / P;Close Time;Price;Commission;Taxes;Swap;Profit;;;;
1520729810;2023.03.08 05:20:46;buy;0.02;xauusd;1810.03;0.00;0.00;2023.03.08 08:57:14;1813.67;0.00;0.00;0.00;7.28;;;;
1520732478;2023.03.08 07:47:54;buy stop;0.04;usdjpy;137.910;137.710;175.846;2023.03.08 20:59:04;137.259;cancelled;;;;;;;
1520732759;2023.03.08 07:58:09;buy stop;0.04;usdjpy;137.910;137.710;175.846;2023.03.08 20:59:05;137.259;cancelled;;;;;;;
1520736586;2023.03.08 09:45:27;buy;0.15;gbpusd;1.18224;0.00000;0.00000;2023.03.08 11:15:27;1.18412;0.00;0.00;0.00;28.20;;;;
1520746482;2023.03.08 13:19:24;buy;0.02;eurcad;1.44904;0.00000;0.00000;2023.03.08 15:28:39;1.45119;0.00;0.00;0.00;3.12;;;;
1520747460;2023.03.08 13:45:00;buy;0.01;euraud;1.59677;0.00000;0.00000;2023.03.08 15:00:27;1.59829;0.00;0.00;0.00;1.00;;;;
1520752878;2023.03.08 15:16:03;buy;0.10;gbpusd;1.18263;0.00000;0.00000;2023.03.09 07:38:29;1.18600;0.00;0.00;-1.30;33.70;;;;
1520771657;2023.03.08 18:30:00;sell;0.01;audcad;0.91060;0.00000;0.00000;2023.03.08 20:02:04;0.90884;0.00;0.00;0.00;1.27;;;;
1520772565;2023.03.08 18:45:00;sell;0.01;eurcad;1.45410;0.00000;0.00000;2023.03.09 07:38:27;1.45624;0.00;0.00;0.11;-1.55;;;;
1520777976;2023.03.08 20:36:56;sell;0.02;eurcad;1.45614;0.00000;0.00000;2023.03.09 07:38:26;1.45625;0.00;0.00;0.22;-0.16;;;;
1520783695;2023.03.09 01:01:00;buy stop;0.04;usdjpy;137.910;137.736;160.870;2023.03.09 20:59:00;136.072;cancelled;;;;;;;
1520783713;2023.03.09 01:01:01;buy stop;0.04;usdjpy;137.910;137.736;160.870;2023.03.09 20:59:00;136.073;cancelled;;;;;;;
1520783736;2023.03.09 01:01:02;buy stop;0.04;usdjpy;137.433;137.210;161.369;2023.03.09 20:59:01;136.072;cancelled;;;;;;;
1520783744;2023.03.09 01:01:03;buy stop;0.04;usdjpy;137.433;137.210;161.369;2023.03.09 20:59:01;136.072;cancelled;;;;;;;
1520788315;2023.03.09 08:00:00;sell;0.01;audcad;0.91169;0.00000;0.00000;2023.03.09 17:00:53;0.91149;0.00;0.00;0.00;0.15;;;;
1520790478;2023.03.09 09:15:00;buy;0.01;euraud;1.59667;0.00000;0.00000;2023.03.09 13:03:23;1.59816;0.00;0.00;0.00;0.99;;;;
1520783739;2023.03.09 10:26:30;sell;0.04;usdjpy;136.475;136.186;113.515;2023.03.09 13:22:23;136.189;0.00;0.00;0.00;8.40;;;;
1520783704;2023.03.09 10:26:30;sell;0.04;usdjpy;136.475;136.300;113.515;2023.03.09 12:06:15;136.303;0.00;0.00;0.00;5.05;;;;
1520783746;2023.03.09 10:26:30;sell;0.04;usdjpy;136.475;136.311;113.515;2023.03.09 14:00:04;136.312;0.00;0.00;0.00;4.78;;;;
1520783724;2023.03.09 10:26:30;sell;0.04;usdjpy;136.475;136.374;113.515;2023.03.09 14:34:27;136.379;0.00;0.00;0.00;2.82;;;;
1520802084;2023.03.09 12:00:18;balance;rollover;;;;;;;;;;62.00;;;;
1520808999;2023.03.09 14:00:00;sell;0.01;gbpusd;1.18889;0.00000;0.00000;2023.03.10 12:04:48;1.19822;0.00;0.00;0.00;-9.33;;;;
1520810235;2023.03.09 14:15:00;sell;0.01;xauusd;1818.71;0.00;0.00;2023.03.09 15:03:29;1817.14;0.00;0.00;0.00;1.57;;;;
1520809000;2023.03.09 15:32:11;sell;0.04;usdjpy;136.012;136.237;109.504;2023.03.09 16:09:15;136.237;0.00;0.00;0.00;-6.61;;;;
1520809070;2023.03.09 15:32:11;sell;0.04;usdjpy;136.012;136.237;109.504;2023.03.09 16:09:15;136.237;0.00;0.00;0.00;-6.61;;;;
1520815929;2023.03.09 15:33:09;sell;0.02;gbpusd;1.19095;0.00000;0.00000;2023.03.10 15:32:21;1.20134;0.00;0.00;-0.01;-20.78;;;;
1520816921;2023.03.09 15:38:17;sell;0.02;audcad;0.91365;0.00000;0.00000;2023.03.09 17:00:53;0.91149;0.00;0.00;0.00;3.14;;;;
1520821778;2023.03.09 16:09:15;sell stop;0.04;usdjpy;135.937;136.160;111.553;2023.03.09 20:59:00;136.070;cancelled;;;;;;;
1520821782;2023.03.09 16:09:16;sell stop;0.04;usdjpy;135.937;136.160;111.553;2023.03.09 20:59:01;136.069;cancelled;;;;;;;
1520826324;2023.03.09 16:47:20;sell;0.02;gbpusd;1.19301;0.00000;0.00000;2023.03.10 16:33:47;1.20440;0.00;0.00;-0.01;-22.78;;;;
